Playlist,class_id,file
RapCaviar,0,Banking On Me - Gunna.mp3
Hot Rhythmic,1,Banking On Me - Gunna.mp3
Signed XOXO,2,Banking On Me - Gunna.mp3
B.A.E.,3,Banking On Me - Gunna.mp3
No Cap,4,Banking On Me - Gunna.mp3
RapCaviar,0,Rumors (feat. Lil Durk) - Gucci Mane.mp3
No Cap,4,Rumors (feat. Lil Durk) - Gucci Mane.mp3
No Cap,4,Rumors (feat. Lil Durk) - Gucci Mane.mp3
RapCaviar,0,Let's Get It (Remix) [feat. 21 Savage] - Hunxho.mp3
Power Workout,5,Let's Get It (Remix) [feat. 21 Savage] - Hunxho.mp3
No Cap,4,Let's Get It (Remix) [feat. 21 Savage] - Hunxho.mp3
No Cap,4,Let's Get It (Remix) [feat. 21 Savage] - Hunxho.mp3
RapCaviar,0,Super Gremlin - Kodak Black.mp3
Get Turnt,6,Super Gremlin - Kodak Black.mp3
Power Workout,5,Super Gremlin - Kodak Black.mp3
Hot Rhythmic,1,Super Gremlin - Kodak Black.mp3
Out The Mud,7,Super Gremlin - Kodak Black.mp3
No Cap,4,Super Gremlin - Kodak Black.mp3
RapCaviar,0,What Happened To Virgil (feat. Gunna) - Lil Durk.mp3
RapCaviar,0,Crypto (feat. Rich The Kid) - Takeoff.mp3
Out The Mud,7,Crypto (feat. Rich The Kid) - Takeoff.mp3
No Cap,4,Crypto (feat. Rich The Kid) - Takeoff.mp3
Singled Out,8,Crypto (feat. Rich The Kid) - Takeoff.mp3
RapCaviar,0,Me or Sum (feat. Future & Lil Baby) - Nardo Wick.mp3
Get Turnt,6,Me or Sum (feat. Future & Lil Baby) - Nardo Wick.mp3
Hot Rhythmic,1,Me or Sum (feat. Future & Lil Baby) - Nardo Wick.mp3
No Cap,4,Me or Sum (feat. Future & Lil Baby) - Nardo Wick.mp3
RapCaviar,0,pushin P (feat. Young Thug) - Gunna.mp3
Get Turnt,6,pushin P (feat. Young Thug) - Gunna.mp3
Power Workout,5,pushin P (feat. Young Thug) - Gunna.mp3
Hot Rhythmic,1,pushin P (feat. Young Thug) - Gunna.mp3
Out The Mud,7,pushin P (feat. Young Thug) - Gunna.mp3
No Cap,4,pushin P (feat. Young Thug) - Gunna.mp3
No Cap,4,pushin P (feat. Young Thug) - Gunna.mp3
RapCaviar,0,AHHH HA - Lil Durk.mp3
Out The Mud,7,AHHH HA - Lil Durk.mp3
No Cap,4,AHHH HA - Lil Durk.mp3
RapCaviar,0,Head Off - DaBaby.mp3
RapCaviar,0,Publicity Stunt - Gucci Mane.mp3
Get Turnt,6,Publicity Stunt - Gucci Mane.mp3
Out The Mud,7,Publicity Stunt - Gucci Mane.mp3
RapCaviar,0,Scared Money (feat. J. Cole and Moneybagg Yo) - YG.mp3
Get Turnt,6,Scared Money (feat. J. Cole and Moneybagg Yo) - YG.mp3
Hot Rhythmic,1,Scared Money (feat. J. Cole and Moneybagg Yo) - YG.mp3
Out The Mud,7,Scared Money (feat. J. Cole and Moneybagg Yo) - YG.mp3
No Cap,4,Scared Money (feat. J. Cole and Moneybagg Yo) - YG.mp3
RapCaviar,0,LLC (feat. Moneybagg Yo) - Money Man.mp3
Get Turnt,6,LLC (feat. Moneybagg Yo) - Money Man.mp3
Out The Mud,7,LLC (feat. Moneybagg Yo) - Money Man.mp3
RapCaviar,0,Nail Tech - Jack Harlow.mp3
Get Turnt,6,Nail Tech - Jack Harlow.mp3
Power Workout,5,Nail Tech - Jack Harlow.mp3
Pop Rising,9,Nail Tech - Jack Harlow.mp3
Hot Rhythmic,1,Nail Tech - Jack Harlow.mp3
Signed XOXO,2,Nail Tech - Jack Harlow.mp3
No Cap,4,Nail Tech - Jack Harlow.mp3
RapCaviar,0,Love & War - Kodak Black.mp3
Get Turnt,6,Love & War - Kodak Black.mp3
RapCaviar,0,Surround Sound (feat. 21 Savage & Baby Tate) - JID.mp3
Hot Rhythmic,1,Surround Sound (feat. 21 Savage & Baby Tate) - JID.mp3
Signed XOXO,2,Surround Sound (feat. 21 Savage & Baby Tate) - JID.mp3
POLLEN,10,Surround Sound (feat. 21 Savage & Baby Tate) - JID.mp3
No Cap,4,Surround Sound (feat. 21 Savage & Baby Tate) - JID.mp3
RapCaviar,0,Today (feat. Gunna) - Cordae.mp3
RapCaviar,0,Go Hard 2.0 - Juice WRLD.mp3
RapCaviar,0,Elon Musk (feat. Gunna) - DDG.mp3
Get Turnt,6,Elon Musk (feat. Gunna) - DDG.mp3
Signed XOXO,2,Elon Musk (feat. Gunna) - DDG.mp3
No Cap,4,Elon Musk (feat. Gunna) - DDG.mp3
RapCaviar,0,P power (feat. Drake) - Gunna.mp3
Signed XOXO,2,P power (feat. Drake) - Gunna.mp3
Workout Twerkout,11,P power (feat. Drake) - Gunna.mp3
No Cap,4,P power (feat. Drake) - Gunna.mp3
RapCaviar,0,trademark usa - Baby Keem.mp3
RapCaviar,0,Worst Day - Future.mp3
Hot Rhythmic,1,Worst Day - Future.mp3
No Cap,4,Worst Day - Future.mp3
No Cap,4,Worst Day - Future.mp3
RapCaviar,0,Don't Play That - King Von.mp3
Get Turnt,6,Don't Play That - King Von.mp3
